Postcode-4,Inwoners Totaal (x1),Geboren in Nederland met een Nederlandse herkomst (%),Huishouden Totaal (x1),Huishoudgrootte (x1),Woning Totaal (x1),Eigendom Koopwoning (%),"WOZ-waarde
woning (x 1 000 Euro)",Omgevingsadressendichtheid (adressen/km2)
2211,14435,80,6450,2.2,6270,60,370,1236
2212,540,80,205,2.6,200,80,673,996
2215,16300,80,6415,2.5,6570,70,408,1426
2216,785,80,355,2.2,355,50,399,1143
2221,13170,90,5630,2.3,5715,60,320,2381
2222,15,90,10,1.9,5,-99997,413,1592
2223,6155,80,2480,2.2,2450,60,360,1956
2224,9570,90,3995,2.4,3945,50,353,2613
2225,14030,90,5595,2.4,5855,70,360,2343
2231,16310,90,6670,2.4,6765,70,386,2052
2232,520,90,185,2.8,180,70,489,1453
2235,6260,90,2355,2.7,2290,80,419,1218
2241,10280,60,4620,2.2,4700,50,405,1871
2242,9235,60,4120,2.2,4315,60,613,1705
2243,3065,60,1360,2.2,1445,70,1448,375
2244,2100,60,750,2.8,760,80,1286,484
2245,2185,60,1000,2.1,1040,50,593,453
